London-Road,South-Willesborough,Collyhurst-Weir,Alfoldean,Denham-Lodge,Kirkby,Morwick,Ower,Great-Corby,Elm-Park-(Bretons-Farm)
0.79,0.153,3.1,0.187,0.214,2.21,2.77,0.183,8.56,0.125
0.67,0.4,1.32,1.71,0.223,0.494,3.11,0.179,8.83,0.118
0.656,0.264,1.99,0.69,0.217,0.378,6.41,0.185,11.3,0.156
0.26,0.228,1.01,0.384,0.216,0.575,5.18,0.179,11,0.1
0.832,0.226,3.13,0.263,0.214,5.07,4.64,0.172,10.2,0.099
0.355,0.16,1.18,0.246,0.221,0.99,4.8,0.171,11.9,0.096
1.53,0.17,4.16,0.253,0.237,3.26,4.56,0.171,11,0.119
0.826,0.531,2.05,0.946,0.253,2.52,18.3,0.182,10.5,0.338
0.39,0.336,1.19,0.492,0.24,0.687,7.56,0.176,10.1,0.119
0.259,0.184,0.931,0.32,0.238,0.52,4.53,0.173,9.26,0.106
0.221,0.183,0.909,0.267,0.234,0.514,3.39,0.174,8.85,0.101
0.217,0.218,0.934,0.246,0.235,0.564,2.79,0.172,8.65,0.105
0.607,0.289,2.01,0.522,0.238,0.635,2.55,0.202,8.61,0.32
0.361,0.324,1.34,0.385,0.219,0.512,2.51,0.187,8.91,0.13
0.325,0.219,1.17,0.286,0.214,0.516,2.93,0.175,10,0.112
0.227,0.177,0.981,0.243,0.212,0.483,2.43,0.168,9.85,0.11
0.214,0.092,0.951,0.223,0.208,0.531,2.12,0.167,9.21,0.106
0.342,0.162,1.13,0.209,0.212,3.33,2.06,0.183,9.72,0.101
0.86,0.171,1.8,0.237,0.211,3.68,2.11,0.191,12.3,0.105
0.519,0.194,1.36,0.241,0.207,3.35,2.08,0.172,12.7,0.102
0.352,0.145,1.1,0.265,0.205,1.03,1.99,0.165,13.1,0.119
0.276,0.139,1.04,0.234,0.209,0.743,2.24,0.16,13.4,0.139
0.269,0.129,1.17,0.263,0.212,0.69,2.09,0.178,15.2,0.129
0.254,0.08,1.08,0.217,0.208,0.671,10,0.172,21.4,0.142
0.267,0.145,1.03,0.204,0.204,0.531,14,0.161,17.6,0.106
0.266,0.43,1.1,0.218,0.204,0.552,14.2,0.161,18.5,0.1
0.241,0.197,1.05,0.193,0.198,0.491,7.45,0.159,17.5,0.097
0.231,0.161,1.05,0.176,0.199,0.465,4.94,0.151,14.4,0.1
0.219,0.141,1.06,0.162,0.197,0.469,3.82,0.15,12.7,0.104
0.301,0.112,1.66,0.149,0.196,0.935,3.18,0.147,11.8,0.104
0.72,0.049,2.51,0.191,0.207,0.641,4.33,0.216,12.1,0.106
0.398,0.095,1.29,0.175,0.215,1.38,5.44,0.173,13.5,0.195
0.282,0.113,1.03,0.163,0.215,0.882,3.74,0.165,12.5,0.205
0.277,0.184,0.894,0.162,0.208,0.699,3.07,0.16,11.4,0.121
0.212,0.137,0.881,0.171,0.202,0.525,2.72,0.158,10.4,0.107
0.54,0.101,2.31,0.185,0.206,1.45,2.7,0.158,10.1,0.181
0.576,0.112,1.48,0.299,0.206,0.96,5.07,0.193,17.7,0.13
0.311,0.183,1,0.244,0.203,0.567,6.71,0.186,20.6,0.106
